mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,100,SA,1,20.0,51993.913485297715,43.621768250179215,226.36985666483992,70.45050238261254,0.0,0.0,1.0,1.0,-21.67187684848923,,,0.0,,,,,,20.0
nonsemantic,100,SA,2,19.0,34687.600872455216,28.468964294522685,151.08379419541916,78.82355290507547,0.0,0.0,1.0,1.0,-18.461042710100003,,,0.0,,,,,,19.0
nonsemantic,100,SA,3,19.0,38901.08177500282,32.33393270591821,169.24356355572544,61.71343298787397,0.0,0.0,1.0,1.0,-21.265948479448568,,,0.0,,,,,,19.0
nonsemantic,100,SA,4,28.0,42066.299387945146,34.956047448111306,183.61157995861578,75.57207441319997,0.0,0.0,1.0,1.0,-20.256905152160456,,,0.0,,,,,,28.0
nonsemantic,100,SA,5,30.0,28227.27785409518,22.93894854038265,123.32417541000996,71.85185509223015,0.0,0.0,1.0,1.0,-17.64085743472959,,,0.0,,,,,,30.0
nonsemantic,100,SA,6,23.0,53812.62715548151,45.09808892629263,234.47073269766292,77.78024724364434,0.0,0.0,1.0,1.0,-19.603085798963384,,,0.0,,,,,,23.0
nonsemantic,100,SA,7,21.0,38424.07937845927,31.62269265844203,167.37040714037062,81.45621381089023,0.0,0.0,1.0,1.0,-18.58560243490778,,,0.0,,,,,,21.0
nonsemantic,100,SA,8,15.0,55671.368276796726,46.42593844005538,242.3630487894985,99.38739108099126,0.0,0.0,1.0,1.0,-23.85009662164597,,,0.0,,,,,,15.0
nonsemantic,100,SA,9,30.0,34427.922414482695,28.171920446065972,149.7403407239805,80.46430141308322,0.0,0.0,1.0,1.0,-17.728691957066857,,,0.0,,,,,,30.0
nonsemantic,100,Greedy,0,35.0,29597.679057725247,24.671205740530183,129.1927910889846,34.481670365179916,0.0,0.0,1.0,1.0,-17.333702063240505,,,0.0,,,,,,35.0
nonsemantic,100,Greedy,1,30.0,37383.42563812355,31.313521346057705,162.83105177783966,46.818568027887416,0.0,0.0,1.0,1.0,-19.428767364343365,,,0.0,,,,,,30.0
nonsemantic,100,Greedy,2,20.0,48091.437127076286,40.35423507727404,209.06234430029022,59.19770467645151,0.0,0.0,1.0,1.0,-18.677491082290327,,,0.0,,,,,,20.0
nonsemantic,100,Greedy,3,33.0,29866.462139025065,24.915489155661266,129.82808436273945,34.31684799700739,0.0,0.0,1.0,1.0,-16.081588785656372,,,0.0,,,,,,33.0
nonsemantic,100,Greedy,4,22.0,42941.12092355173,35.9722376735539,186.70708975860217,55.42809009344276,0.0,0.0,1.0,1.0,-21.642051565719633,,,0.0,,,,,,22.0
nonsemantic,100,Greedy,5,26.0,36729.257495612466,30.78460117773525,159.98392182543733,44.244127570764476,0.0,0.0,1.0,1.0,-17.76394962807521,,,0.0,,,,,,26.0
nonsemantic,100,Greedy,6,17.0,46386.69209353158,39.03898051332807,201.7563988094869,50.79029020734251,0.0,0.0,1.0,1.0,-21.661809029417874,,,0.0,,,,,,17.0
