mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,300,SA,1,77.0,14797.760813663968,9.846482739693341,65.29189606765728,268.3329273344471,37.0,23.0,0.6662386371668946,0.5695346320346317,-14.983980554697954,0.0,0.0,37.0,40.0
semantic,300,SA,2,106.0,9172.799674180604,5.169128258101213,40.70482156191693,234.0227858502865,55.0,26.0,0.6396024039780213,0.5351808176100624,-12.675332208112334,0.0,0.0,55.0,51.0
semantic,300,SA,3,96.0,11727.069728814733,7.346299663807855,52.05065857628282,247.48421164655792,56.0,30.0,0.5948257329571085,0.4774305555555555,-13.5917351647604,0.0,0.0,56.0,40.0
semantic,300,SA,4,92.0,11817.500088410601,7.696119957945678,52.344758497568385,203.6027878564434,52.0,25.0,0.6074087847286271,0.4936594202898548,-15.997737200939673,0.0,0.0,52.0,40.0
semantic,300,SA,5,121.0,9310.996182266079,5.21945801384816,41.67120371345342,252.943468350031,65.0,27.0,0.6268761177172901,0.5187672176308536,-12.5165522054732,0.0,0.0,65.0,56.0
semantic,300,SA,6,103.0,10144.806232508246,5.823464937153721,44.825438033604755,266.25479493529525,54.0,32.0,0.6358489250432822,0.5303398058252423,-14.577918519382557,0.0,0.0,54.0,49.0
semantic,300,SA,7,129.0,7118.970370119684,3.255208205046998,31.48923063296674,256.2181695112859,77.0,35.0,0.5854030755840184,0.4652777777777773,-11.379528855709772,0.0,0.0,77.0,52.0
semantic,300,SA,8,91.0,9649.763352704884,5.540099537575867,43.0856893181409,250.42530239066136,56.0,24.0,0.5725634105921145,0.44871794871794835,-14.303714986609556,0.0,0.0,56.0,35.0
semantic,300,SA,9,72.0,13693.286562172196,8.708985912834768,60.798738444843515,309.9278557514743,44.0,19.0,0.5755317202407801,0.4525462962962966,-15.769587634961812,0.0,0.0,44.0,28.0
semantic,300,Greedy,0,193.0,1966.6800617944727,0.8140860072674203,9.365379178736466,36.99679444456649,191.0,0.0,0.31261330861413233,0.11344991364421421,-5.3975435025765,0.0,0.0,191.0,2.0
semantic,300,Greedy,1,204.0,1450.2614637845102,0.5084868208395419,6.996572010728101,25.32630904456448,197.0,0.0,0.32924932262647394,0.1349060457516342,-3.7129440638895224,0.0,0.0,197.0,7.0
semantic,300,Greedy,2,218.0,2104.583918508911,1.0420719739975821,9.978675941048822,29.502359747162075,216.0,0.0,0.3117878766873039,0.11238532110091767,-7.007487878543861,0.0,0.0,216.0,2.0
semantic,300,Greedy,3,208.0,1668.851252594936,0.778178291810256,7.796682103532135,21.18576123099393,204.0,0.0,0.3187729356311827,0.12139423076923106,-4.157784491605695,0.0,0.0,204.0,4.0
semantic,300,Greedy,4,178.0,3468.2184019334377,2.125839969969292,15.991818588553764,36.63726892873569,176.0,0.0,0.3132198619626109,0.11423220973782779,-10.974498099965627,0.0,0.0,176.0,2.0
